client_id	audio_id	audio_file	duration_ms	prompt_id	prompt	transcription	votes	age	gender	language	split	char_per_sec	quality_tags
108ffe9dbc0368264d5ebf59cc1e112b	37362	spontaneous-speech-tr-37362.mp3	15516	2111	Hangi geleneksel Türk tatlısını en çok seviyorsun? Neden?	Herhalde buna yanıtım, baklava olmalı, bir yığın çeşidi var, hepsini seviyorum. Aslında bütün tatlıları seviyorum, çünkü şekerim var yiyemiyorum, yoksa bir oturuşta bir kilo yerim.	1			Turkish		10.05413766434648	
108ffe9dbc0368264d5ebf59cc1e112b	37366	spontaneous-speech-tr-37366.mp3	37620	2074	Bir günü nasıl geçiriyorsun?	Ortalama bir günümde, sürekli bilgisayar başındayım, yani günde böyle 12, 16 saat falan, ee, sürekli bir şeyler üretiyorum, bir şeyler öğreniyorum. Ee, tabii normal sosyal yaşam da var, ama gün geçtikçe azalıyor bu, daha çok eve kapalı yaşamayı tercih ediyorum. Özellikle ee, zaman daha hızlı geçiyor gibi geliyor bana yaş ilerledikçe.	0			Turkish		7.575757575757576	
108ffe9dbc0368264d5ebf59cc1e112b	37368	spontaneous-speech-tr-37368.mp3	46440	2064	Hayatında sana ilham veren biri var mı?	Yaşamımın değişik dönemlerinde, değişik insanlardan, değişik görüşlerden etkilendim. Ee, ne bileyim, bir dönem Buda'dan etkilendim, yani Budizm'le ilgilendiğim zaman. Ee, bir dönem Mahatma Gandhi önemliydi. Bir dönem Nelson Mandela önemliydi, Einstein hep önemliydi. Ee, hep var olanın dışına çıkan, ee, anarşist kafada bir şeyleri değiştirmeye çalışan insanlar bana ilham verdi. Ee, en çok da Karl Marx tabii ki.	0			Turkish		7.665805340223946	
108ffe9dbc0368264d5ebf59cc1e112b	37367	spontaneous-speech-tr-37367.mp3	45396	2062	Bir süper gücün olsa, ne olmasını isterdin?	Valla çok fazla <disfluency> bilimkurgu ve fantastik kitap ve film okudum, izledim. <disfluency> Bunlarda genellikle kötü adamların <disfluency> istediği birşey var; <disfluency> bütün güçlere sahip olmak! İşte onu isterdim. Çünkü bu dünya eğer o bütün dünlere- <disfluency> bütün güçlere sahip olmazsam  düzelebilecek birşey değil. Hepsi bende olursa bu dünyayı düzeltebilirim.	1			Turkish		7.225306194378359	
108ffe9dbc0368264d5ebf59cc1e112b	43060	spontaneous-speech-tr-43060.mp3	32796	2022	Yabancı dille eğitim yapılması konusunda ne düşünüyorsun?	Vallaha, yabancı dilde eğitimin iyi yanı da var, kötü yanı da var. Şimdi, bir yandan global bir dünyada yaşıyoruz ve, ee, insanların birbiriyle haberleşmesi için, örneğin ee, İngilizce, ee, Almanca gibi çok kullanılan dillerde eğitim görmek, özellikle teknik konularda gayet iyi. Ama bir yandan da kendi kültüründen kopmayı getirebilir, böyle bir şey. Yani buna da çok dikkat etmek lazım ve bunu da dengeli götürmek lazım.	1			Turkish		10.915965361629468	
d7632d08ec57bdd142b6bb0cb8b5e346	43062	spontaneous-speech-tr-43062.mp3	34092	2012	Çocukluğunda en sevdiğin oyun hangisiydi?	Çocukluğumda en sevdiğim oyun yakan toptu. İki grup halinde oynanıyordu. Ee, gruplardaki kişiler topa yakalanmamaya çalışıyorlardı, burada bir bireysellik vardı. Yakalanan grup arkadaşlarını da kurtarmaya da çalışıyorlardı, burada da grup oyunu da vardı. Bu ikisini de birleştirdiği için, aynı zamanda iki takım halinde olduğundan dolayı rekabet de vardı. Bu yüzden çok seviyordum o oyunu.	0			Turkish		9.855684618092221	
108ffe9dbc0368264d5ebf59cc1e112b	37364	spontaneous-speech-tr-37364.mp3	56628	2121	Dünyada temiz su kaynakları sence neden tükeniyor?	"Temiz su kaynaklarının tükenmesinin bir çok nedeni var ama, iki temel neden var. Bunlardan ilki nüfusun artması. <disfluency> Nüfus arttıkça, ihtiyaç artıyor tabii suya, tabi ki <disfluency> bu da işte ülkelerin ve ekonomilerin büyümesi için ""daha çok çoğalın"", ""daha çok insan olsun"" gibi kapitalist <disfluency> düşünce yapısının getirdiği bişey. İkincisi ise, temizlemiyoruz, yani kul- çok fazla kullanıyoruz, tüketime yönelik bir ekonomimiz var ve gene ekonomik nedenlerle, atıklarımızla temiz su kaynaklarımızı da kirletiyoruz ve kısır bir döngüye giriyoruz."	1			Turkish		8.599985872713145	
108ffe9dbc0368264d5ebf59cc1e112b	37370	spontaneous-speech-tr-37370.mp3	24768	2104	Sabahları enerjik olmanı sağlayan şey nedir?	Ben sabahları genelde uyurum çünkü geceleri çalışırım. Uyandıktan sonra da... en az iki, ve hatta bazı günlerde dört tane kahvede-  kahve içmeden de kendime gelemeeem. Yani, enerjik olmamı sağlayacak tek şey, kahve benim için.	1			Turkish		7.751937984496124	
108ffe9dbc0368264d5ebf59cc1e112b	36913	spontaneous-speech-tr-36913.mp3	15480	1986	Son yıllarda iklim değişikliğinin etkilerini yaşıyor musun?	Yaşamaz mıyız?! Havalar ya çok soğuuk, ya çok sıcak ve sürekli bir yığın kötü hava olayı oluyo, fırtınalar, seller... Sonuna kadar yaşıyoruz iklim değişikliğinin etkilerini!	1			Turkish		9.62532299741602	
5ec32097f340e47e8fb62decb24956be	40828	spontaneous-speech-tr-40828.mp3	14508	1983	Geçen yaz tatil yapabildiniz mi? Anlatsana…	On yıldır bir tatil yöresinde yaşıyorum zaten, o yüzden pek tatile gitme ihtiyacı hissetmiyorum. Ama geçen yıl üç günlüğüne bir otelde arkadaşımla birlikte konakladık.	0			Turkish		9.925558312655086	
